Date;USA Standard (Large+Mid Cap);SWITZERLAND Standard (Large+Mid Cap);UNITED KINGDOM Standard (Large+Mid Cap);JAPAN Standard (Large+Mid Cap);EMU Standard (Large+Mid Cap);EM (EMERGING MARKETS) Standard (Large+Mid Cap)
Dec 31, 1969;100.000;100.000;100.000;100.000;;
Jan 30, 1970;92.886;97.500;99.383;98.486;;
Feb 27, 1970;98.130;95.886;94.182;99.768;;
Mar 31, 1970;98.729;95.857;96.612;103.893;;
Apr 30, 1970;90.200;86.782;86.858;91.389;;
May 29, 1970;85.125;84.604;82.614;89.027;;
Jun 30, 1970;81.667;85.101;86.466;90.730;;
Jul 31, 1970;87.823;88.384;89.798;90.997;;
Aug 31, 1970;91.445;92.324;89.704;90.094;;
Sep 30, 1970;94.574;88.406;95.070;89.131;;
Oct 30, 1970;93.910;87.338;94.962;90.358;;
Nov 30, 1970;99.080;83.876;88.586;87.839;;
Dec 31, 1970;104.830;86.797;94.235;88.621;;
Jan 29, 1971;109.712;94.620;94.634;93.552;;
Feb 26, 1971;110.885;95.189;93.033;97.927;;
Mar 31, 1971;115.446;100.240;101.160;106.087;;
Apr 30, 1971;119.987;103.141;112.496;111.659;;
May 31, 1971;115.381;99.284;116.771;110.941;;
Jun 30, 1971;116.229;104.020;118.905;121.637;;
Jul 30, 1971;112.147;106.380;127.017;122.295;;
Aug 31, 1971;116.828;107.597;128.899;114.296;;
Sep 30, 1971;115.434;103.853;129.170;118.163;;
Oct 29, 1971;111.371;96.165;125.963;113.602;;
Nov 30, 1971;111.897;106.267;129.396;121.595;;
Dec 31, 1971;118.976;110.626;139.603;137.317;;
Jan 31, 1972;121.455;119.988;147.454;148.362;;
Feb 29, 1972;124.948;126.115;156.631;161.969;;
Mar 31, 1972;126.991;129.529;157.251;170.436;;
Apr 28, 1972;127.288;129.206;162.391;179.437;;
May 31, 1972;127.239;138.806;159.362;194.676;;
Jun 30, 1972;125.054;128.821;144.851;202.531;;
Jul 31, 1972;124.441;137.744;153.165;219.908;;
Aug 31, 1972;129.073;142.254;154.264;225.420;;
Sep 29, 1972;129.375;141.534;137.493;235.724;;
Oct 31, 1972;131.162;140.150;137.254;243.398;;
Nov 30, 1972;136.315;135.578;147.078;286.819;;
Dec 29, 1972;138.685;142.330;145.080;311.610;;
Jan 31, 1973;135.496;148.461;135.967;316.923;;
Feb 28, 1973;129.271;160.274;138.001;343.744;;
Mar 30, 1973;127.862;157.175;138.007;344.660;;
Apr 30, 1973;123.065;150.033;139.794;306.562;;
May 31, 1973;121.224;165.248;144.328;314.579;;
Jun 29, 1973;121.493;173.563;143.828;320.233;;
Jul 31, 1973;126.387;161.502;133.414;339.740;;
Aug 31, 1973;122.291;153.978;126.191;323.753;;
Sep 28, 1973;126.776;162.127;128.342;306.423;;
Oct 31, 1973;127.435;165.006;133.073;304.958;;
Nov 30, 1973;114.036;140.995;113.411;263.148;;
Dec 31, 1973;116.157;136.956;107.374;248.746;;
Jan 31, 1974;114.282;141.188;103.003;247.978;;
Feb 28, 1974;114.270;138.352;110.319;257.623;;
Mar 29, 1974;111.590;145.077;92.803;262.080;;
Apr 30, 1974;107.411;144.587;100.459;266.083;;
May 31, 1974;104.200;125.772;90.432;275.771;;
Jun 28, 1974;102.561;129.675;82.011;266.144;;
Jul 31, 1974;94.530;134.496;76.970;239.773;;
Aug 30, 1974;86.081;118.014;65.925;213.469;;
Sep 30, 1974;76.191;107.353;58.385;215.877;;
Oct 31, 1974;89.746;116.968;60.741;197.977;;
Nov 29, 1974;85.702;119.148;51.630;218.609;;
Dec 31, 1974;84.012;119.896;53.011;209.823;;
Jan 31, 1975;94.945;149.369;82.917;220.491;;
Feb 28, 1975;100.942;158.789;105.234;252.746;;
Mar 31, 1975;103.442;155.195;96.691;259.137;;
Apr 30, 1975;108.144;163.199;111.863;259.907;;
May 30, 1975;113.121;161.297;115.791;258.724;;
Jun 30, 1975;118.595;160.478;97.902;261.687;;
Jul 31, 1975;110.687;151.897;93.640;248.368;;
Aug 29, 1975;108.301;145.041;105.995;237.442;;
Sep 30, 1975;104.554;134.121;104.728;222.522;;
Oct 31, 1975;111.787;154.361;111.038;246.591;;
Nov 28, 1975;115.207;161.994;109.175;248.794;;
Dec 31, 1975;114.104;169.360;114.514;251.691;;
Jan 30, 1976;127.461;175.969;125.940;267.278;;
Feb 27, 1976;126.193;175.145;122.030;269.243;;
Mar 31, 1976;130.651;175.964;114.880;269.239;;
Apr 30, 1976;129.331;174.619;115.111;271.070;;
May 31, 1976;127.993;176.234;103.261;272.665;;
Jun 30, 1976;133.733;179.884;103.561;286.394;;
Jul 30, 1976;133.060;180.009;100.366;281.173;;
Aug 31, 1976;132.995;180.038;95.575;291.125;;
Sep 30, 1976;136.431;179.254;84.822;292.787;;
Oct 29, 1976;133.951;173.092;73.848;277.544;;
Nov 30, 1976;133.468;174.882;81.650;274.563;;
Dec 31, 1976;140.630;187.181;100.155;316.493;;
Jan 31, 1977;133.864;185.192;109.900;307.139;;
Feb 28, 1977;131.223;180.698;112.703;322.995;;
Mar 31, 1977;129.807;182.611;116.615;319.984;;
Apr 29, 1977;130.303;184.899;120.795;325.998;;
May 31, 1977;127.953;179.245;124.069;324.064;;
Jun 30, 1977;134.267;184.787;128.119;336.973;;
Jul 29, 1977;132.697;189.098;126.350;333.077;;
Aug 31, 1977;130.304;196.381;141.599;350.798;;
Sep 30, 1977;130.472;208.949;153.669;355.909;;
Oct 31, 1977;125.160;216.991;156.462;362.999;;
Nov 30, 1977;128.508;224.698;148.456;364.158;;
Dec 30, 1977;129.353;241.051;158.575;366.883;;
Jan 31, 1978;121.914;254.696;154.567;382.469;;
Feb 28, 1978;119.291;260.144;146.408;397.108;;
Mar 31, 1978;122.298;257.774;150.543;448.638;;
Apr 28, 1978;133.960;238.155;150.445;445.940;;
May 31, 1978;134.608;246.543;156.963;450.178;;
Jun 30, 1978;132.576;255.529;155.392;492.620;;
Jul 31, 1978;140.702;270.526;171.702;544.146;;
Aug 31, 1978;144.507;287.701;176.685;536.195;;
Sep 29, 1978;143.978;295.057;179.285;548.215;;
Oct 31, 1978;131.816;301.374;184.502;590.943;;
Nov 30, 1978;134.563;267.557;175.954;536.602;;
Dec 29, 1978;137.066;293.829;181.875;562.876;;
Jan 31, 1979;143.397;312.698;181.073;561.114;;
Feb 28, 1979;138.508;311.833;196.983;539.673;;
Mar 30, 1979;146.444;314.874;227.158;520.623;;
Apr 30, 1979;146.503;311.816;238.616;504.627;;
