"Date";"D0";"D1";"Value"
"1969-12";"M1";"USD1";
"1970-01";"M1";"USD1";"4.3051"
"1970-02";"M1";"USD1";"4.3035"
"1970-03";"M1";"USD1";"4.309"
"1970-04";"M1";"USD1";"4.3016"
"1970-05";"M1";"USD1";"4.3232"
"1970-06";"M1";"USD1";"4.3169"
"1970-07";"M1";"USD1";"4.3037"
"1970-08";"M1";"USD1";"4.3025"
"1970-09";"M1";"USD1";"4.327"
"1970-10";"M1";"USD1";"4.3345"
"1970-11";"M1";"USD1";"4.3116"
"1970-12";"M1";"USD1";"4.3162"
"1971-01";"M1";"USD1";"4.2969"
"1971-02";"M1";"USD1";"4.3065"
"1971-03";"M1";"USD1";"4.295"
"1971-04";"M1";"USD1";"4.295"
"1971-05";"M1";"USD1";"4.099"
"1971-06";"M1";"USD1";"4.0972"
"1971-07";"M1";"USD1";"4.0866"
"1971-08";"M1";"USD1";"3.9825"
"1971-09";"M1";"USD1";"3.95"
"1971-10";"M1";"USD1";"3.989"
"1971-11";"M1";"USD1";"3.9522"
"1971-12";"M1";"USD1";"3.915"
"1972-01";"M1";"USD1";"3.872"
"1972-02";"M1";"USD1";"3.8695"
"1972-03";"M1";"USD1";"3.84"
"1972-04";"M1";"USD1";"3.8615"
"1972-05";"M1";"USD1";"3.844"
"1972-06";"M1";"USD1";
"1972-07";"M1";"USD1";"3.7732"
"1972-08";"M1";"USD1";"3.7787"
"1972-09";"M1";"USD1";"3.801"
"1972-10";"M1";"USD1";"3.797"
"1972-11";"M1";"USD1";"3.7755"
"1972-12";"M1";"USD1";"3.774"
"1973-01";"M1";"USD1";"3.6225"
"1973-02";"M1";"USD1";"3.12"
"1973-03";"M1";"USD1";"3.237"
"1973-04";"M1";"USD1";"3.24"
"1973-05";"M1";"USD1";"3.096"
"1973-06";"M1";"USD1";"2.96"
"1973-07";"M1";"USD1";"2.866"
"1973-08";"M1";"USD1";"3.029"
"1973-09";"M1";"USD1";"3.022"
"1973-10";"M1";"USD1";"3.097"
"1973-11";"M1";"USD1";"3.2015"
"1973-12";"M1";"USD1";"3.2435"
"1974-01";"M1";"USD1";"3.289"
"1974-02";"M1";"USD1";"3.122"
"1974-03";"M1";"USD1";"3"
"1974-04";"M1";"USD1";"2.915"
"1974-05";"M1";"USD1";"2.976"
"1974-06";"M1";"USD1";"2.9975"
"1974-07";"M1";"USD1";"2.9748"
"1974-08";"M1";"USD1";"3.008"
"1974-09";"M1";"USD1";"2.946"
"1974-10";"M1";"USD1";"2.8695"
"1974-11";"M1";"USD1";"2.716"
"1974-12";"M1";"USD1";"2.54"
"1975-01";"M1";"USD1";"2.497"
"1975-02";"M1";"USD1";"2.3945"
"1975-03";"M1";"USD1";"2.528"
"1975-04";"M1";"USD1";"2.5525"
"1975-05";"M1";"USD1";"2.51"
"1975-06";"M1";"USD1";"2.5055"
"1975-07";"M1";"USD1";"2.7135"
"1975-08";"M1";"USD1";"2.6822"
"1975-09";"M1";"USD1";"2.7475"
"1975-10";"M1";"USD1";"2.624"
"1975-11";"M1";"USD1";"2.6785"
"1975-12";"M1";"USD1";"2.62"
"1976-01";"M1";"USD1";"2.6"
"1976-02";"M1";"USD1";"2.562"
"1976-03";"M1";"USD1";"2.5342"
"1976-04";"M1";"USD1";"2.5127"
"1976-05";"M1";"USD1";"2.4365"
"1976-06";"M1";"USD1";"2.473"
"1976-07";"M1";"USD1";"2.4795"
"1976-08";"M1";"USD1";"2.477"
"1976-09";"M1";"USD1";"2.4542"
"1976-10";"M1";"USD1";"2.436"
"1976-11";"M1";"USD1";"2.443"
"1976-12";"M1";"USD1";"2.449"
"1977-01";"M1";"USD1";"2.5168"
"1977-02";"M1";"USD1";"2.5525"
"1977-03";"M1";"USD1";"2.5418"
"1977-04";"M1";"USD1";"2.5238"
"1977-05";"M1";"USD1";"2.5047"
"1977-06";"M1";"USD1";"2.4613"
"1977-07";"M1";"USD1";"2.4"
"1977-08";"M1";"USD1";"2.393"
"1977-09";"M1";"USD1";"2.3383"
"1977-10";"M1";"USD1";"2.232"
"1977-11";"M1";"USD1";"2.16"
"1977-12";"M1";"USD1";"2"
"1978-01";"M1";"USD1";"1.981"
"1978-02";"M1";"USD1";"1.873"
"1978-03";"M1";"USD1";"1.8685"
"1978-04";"M1";"USD1";"1.933"
"1978-05";"M1";"USD1";"1.9065"
"1978-06";"M1";"USD1";"1.8583"
"1978-07";"M1";"USD1";"1.742"
"1978-08";"M1";"USD1";"1.646"
"1978-09";"M1";"USD1";"1.543"
"1978-10";"M1";"USD1";"1.4735"
"1978-11";"M1";"USD1";"1.72"
"1978-12";"M1";"USD1";"1.62"
"1979-01";"M1";"USD1";"1.6865"
"1979-02";"M1";"USD1";"1.6665"
"1979-03";"M1";"USD1";"1.691"
"1979-04";"M1";"USD1";"1.723"
"1979-05";"M1";"USD1";"1.7225"
"1979-06";"M1";"USD1";"1.6612"
"1979-07";"M1";"USD1";"1.6637"
"1979-08";"M1";"USD1";"1.656"
"1979-09";"M1";"USD1";"1.5335"
"1979-10";"M1";"USD1";"1.6605"
"1979-11";"M1";"USD1";"1.614"
"1979-12";"M1";"USD1";"1.58"
"1980-01";"M1";"USD1";"1.6255"
"1980-02";"M1";"USD1";"1.6875"
"1980-03";"M1";"USD1";"1.832"
"1980-04";"M1";"USD1";"1.668"
"1980-05";"M1";"USD1";"1.6615"
"1980-06";"M1";"USD1";"1.6215"
"1980-07";"M1";"USD1";"1.65"
"1980-08";"M1";"USD1";"1.649"
"1980-09";"M1";"USD1";"1.6485"
"1980-10";"M1";"USD1";"1.7208"
"1980-11";"M1";"USD1";"1.7372"
